,Full Address,Lat,Lon,Lead,Arsenic
294,"PrairieHenLn,HiddenQuail,Austin,TX",30.39418,-97.70064,65,0
295,"SingleTrace,Townhill,Austin,TX",30.44372,-97.68842,17,0
296,"AntoinettePl.,CabanaLn.,Austin,TX",30.41919,-97.72171,0,0
297,"Walnut,Hemlock,Austin,TX",30.28749,-97.71512,26,0
298,"Walnut,Hemlock,Austin,TX",30.28749,-97.71512,44,0
299,"Walnut,Manor,Austin,TX",30.2851,-97.71417,0,0
300,"Walnut,Hemlock,Austin,TX",30.28749,-97.71512,22,0
301,"EmeraldWood,S.1st,Austin,TX",30.21289,-97.7785,22,0
302,"Byron,Durnberry,Austin,TX",30.23553,-97.7861,0,0
303,"Byron,Durnberry,Austin,TX",30.23553,-97.7861,14,0
304,"Nickols,Webberville,Austin,TX",30.26667,-97.70822,22,0
305,"Needham,WhalebridgeLns,Austin,TX",30.1914,-97.89482,11,0
306,"SpringdaleRd.,BreedsHill,Austin,TX",30.33848,-97.64871,22,0
307,"14th,Comal,Austin,TX",30.27514,-97.72425,0,0
308,"AltaVistaAve.,Woodland,Austin,TX",30.24406,-97.74318,13,0
309,"49th,Bennet,Austin,TX",30.30888,-97.71488,210,0
310,"DormanDr.,Jilbur,Austin,TX",30.50591,-97.73334,21,0
311,"DormanDr.,Jilbur,Austin,TX",30.50591,-97.73334,14,0
312,"SunnySlope,RR258,Austin,TX",30.29887,-97.76149,120,0
313,"SunnySlope,RR258,Austin,TX",30.29887,-97.76149,45,0
314,"SunnySlope,RR258,Austin,TX",30.29887,-97.76149,45,0
315,"MoPac,C.Chavez,Austin,TX",30.34196,-97.75325,15,0
316,"MoPac,C.Chavez,Austin,TX",30.34196,-97.75325,20,0
317,"Hart,FarWest,Austin,TX",30.35505,-97.75665,0,0
318,"Hart,FarWest,Austin,TX",30.35505,-97.75665,13,0
319,"Hart,FarWest,Austin,TX",30.35505,-97.75665,0,0
320,"Hart,FarWest,Austin,TX",30.35505,-97.75665,0,0
321,"NelsonRanchLoop,AndersonMillRd.,Austin,TX",30.45491,-97.7706,0,0
